locus	ES	TB	TY	GR
R7A2020_28750	0.102	0.026	0.045	0.035
R7A2020_28755	0.084	0.021	0.036	0.030
R7A2020_28760	0.006	0.001	0.004	0.001
R7A2020_28765	0.061	0.008	0.033	0.025
R7A2020_28770	0.052	0.020	0.013	0.016
R7A2020_28775	0.000	0.000	0.000	0.000
R7A2020_28780	0.054	0.010	0.027	0.022
R7A2020_28785	0.054	0.015	0.024	0.009
R7A2020_28790	0.087	0.033	0.029	0.007
R7A2020_28795	0.037	0.011	0.011	0.011
R7A2020_28800	0.172	0.063	0.063	0.023
R7A2020_28805	0.125	0.047	0.041	0.027
R7A2020_28810	0.132	0.049	0.059	0.031
R7A2020_28815	0.128	0.042	0.050	0.037
R7A2020_28820	0.114	0.042	0.046	0.026
R7A2020_28825	0.102	0.023	0.047	0.016
R7A2020_28830	0.119	0.047	0.045	0.042
R7A2020_28835	0.127	0.042	0.049	0.034
R7A2020_28840	0.081	0.039	0.024	0.015
R7A2020_28845	0.093	0.026	0.039	0.020
R7A2020_28850	0.132	0.048	0.061	0.041
R7A2020_28855	0.086	0.034	0.026	0.013
R7A2020_28860	0.103	0.040	0.038	0.030
R7A2020_28865	0.128	0.040	0.055	0.037
R7A2020_28870	0.152	0.055	0.061	0.050
R7A2020_28875	0.162	0.060	0.058	0.052
R7A2020_28880	0.142	0.049	0.058	0.052
R7A2020_28885	0.136	0.052	0.048	0.041
R7A2020_28890	0.197	0.056	0.082	0.047
R7A2020_28895	0.125	0.045	0.053	0.045
R7A2020_28900	0.182	0.063	0.068	0.067
R7A2020_28905	0.133	0.054	0.040	0.045
R7A2020_28910	0.118	0.042	0.053	0.031
R7A2020_28915	0.118	0.034	0.067	0.034
R7A2020_28920	0.111	0.039	0.039	0.036
R7A2020_28925	0.044	0.018	0.021	0.009
R7A2020_28930	0.114	0.030	0.051	0.036
R7A2020_28935	0.096	0.033	0.038	0.034
R7A2020_28940	0.059	0.016	0.031	0.015
R7A2020_28945	0.129	0.047	0.088	0.006
R7A2020_28950	0.126	0.040	0.057	0.041
R7A2020_28955	0.131	0.049	0.058	0.036
R7A2020_28960	0.112	0.037	0.059	0.027
R7A2020_28965	0.123	0.034	0.049	0.043
R7A2020_28970	0.128	0.050	0.051	0.042
R7A2020_28975	0.098	0.034	0.034	0.032
R7A2020_28980	0.036	0.009	0.009	0.009
R7A2020_28985	0.105	0.023	0.070	0.028
R7A2020_28990	0.063	0.013	0.026	0.024
R7A2020_28995	0.056	0.012	0.025	0.017
R7A2020_29000	0.076	0.023	0.029	0.027
R7A2020_29005	0.048	0.005	0.028	0.011
R7A2020_29010	0.054	0.008	0.026	0.013
R7A2020_29015	0.000	0.000	0.000	0.000
R7A2020_29020	0.065	0.016	0.029	0.021
R7A2020_29025	0.031	0.005	0.016	0.009
R7A2020_29030	0.070	0.019	0.031	0.022
R7A2020_29035	0.125	0.039	0.061	0.039
R7A2020_29040	0.128	0.038	0.042	0.038
R7A2020_29045	0.104	0.035	0.039	0.029
R7A2020_29050	0.105	0.040	0.045	0.026
R7A2020_29055	0.119	0.034	0.071	0.037
R7A2020_29060	0.117	0.042	0.051	0.029
R7A2020_29065	0.074	0.021	0.033	0.020
R7A2020_29070	0.076	0.024	0.030	0.022
R7A2020_29075	0.077	0.016	0.022	0.027
R7A2020_29080	0.127	0.038	0.055	0.043
R7A2020_29085	0.188	0.092	0.058	0.040
R7A2020_29090	0.214	0.091	0.082	0.047
R7A2020_29095	0.171	0.089	0.058	0.038
R7A2020_29100	0.226	0.105	0.072	0.063
R7A2020_29105	0.182	0.080	0.063	0.033
R7A2020_29110	0.212	0.104	0.068	0.046
R7A2020_29115	0.193	0.093	0.067	0.049
R7A2020_29120	0.176	0.078	0.058	0.041
R7A2020_29125	0.095	0.042	0.025	0.017
R7A2020_29130	0.135	0.032	0.044	0.047
R7A2020_29135	0.073	0.012	0.055	0.012
R7A2020_29140	0.152	0.064	0.052	0.040
R7A2020_29145	0.110	0.035	0.041	0.032
R7A2020_29150	0.110	0.029	0.053	0.039
R7A2020_29155	0.102	0.032	0.041	0.029
R7A2020_29160	0.125	0.043	0.038	0.040
R7A2020_29165	0.125	0.043	0.058	0.026
R7A2020_29170	0.125	0.053	0.042	0.031
R7A2020_29175	0.152	0.060	0.057	0.042
R7A2020_29180	0.112	0.033	0.053	0.038
R7A2020_29185	0.089	0.025	0.038	0.026
R7A2020_29190	0.058	0.011	0.031	0.014
R7A2020_29195	0.057	0.012	0.025	0.017
R7A2020_29200	0.063	0.016	0.022	0.016
R7A2020_29205	0.090	0.020	0.046	0.026
R7A2020_29210	0.002	0.000	0.001	0.000
R7A2020_29215	0.072	0.017	0.029	0.024
R7A2020_29220	0.077	0.020	0.035	0.019
R7A2020_29225	0.077	0.017	0.039	0.022
R7A2020_29230	0.082	0.013	0.047	0.028
R7A2020_29235	0.053	0.005	0.027	0.020
R7A2020_29240	0.094	0.027	0.039	0.027
R7A2020_29245	0.073	0.024	0.032	0.013
R7A2020_29250	0.059	0.018	0.025	0.016
R7A2020_29255	0.097	0.021	0.044	0.021
R7A2020_29260	0.130	0.042	0.064	0.037
R7A2020_29265	0.092	0.042	0.028	0.021
R7A2020_29270	0.104	0.032	0.060	0.020
R7A2020_29275	0.087	0.011	0.049	0.028
R7A2020_29280	0.077	0.014	0.046	0.024
R7A2020_29285	0.133	0.041	0.055	0.030
R7A2020_29290	0.141	0.053	0.058	0.035
R7A2020_29295	0.153	0.070	0.055	0.031
R7A2020_29300	0.124	0.053	0.041	0.026
R7A2020_29305	0.148	0.048	0.052	0.048
R7A2020_29310	0.159	0.065	0.072	0.036
R7A2020_29315	0.132	0.053	0.043	0.026
R7A2020_29320	0.166	0.067	0.057	0.047
R7A2020_29325	0.090	0.020	0.030	0.020
R7A2020_29330	0.096	0.031	0.040	0.027
R7A2020_29335	0.007	0.000	0.003	0.002
R7A2020_29340	0.095	0.024	0.050	0.028
R7A2020_29345	0.073	0.010	0.045	0.017
R7A2020_29350	0.111	0.033	0.045	0.026
R7A2020_29355	0.144	0.056	0.069	0.032
R7A2020_29360	0.122	0.049	0.051	0.038
R7A2020_29365	0.137	0.041	0.064	0.043
R7A2020_29370	0.111	0.044	0.044	0.033
R7A2020_29375	0.118	0.041	0.055	0.026
R7A2020_29380	0.165	0.078	0.047	0.040
R7A2020_29385	0.083	0.030	0.037	0.020
R7A2020_29390	0.088	0.019	0.043	0.028
R7A2020_29395	0.095	0.028	0.045	0.023
R7A2020_29400	0.065	0.021	0.029	0.020
R7A2020_29405	0.084	0.026	0.043	0.026
R7A2020_29410	0.110	0.055	0.041	0.037
R7A2020_29415	0.075	0.027	0.029	0.017
R7A2020_29420	0.150	0.058	0.052	0.036
R7A2020_29425	0.096	0.044	0.028	0.012
R7A2020_29430	0.111	0.031	0.049	0.024
R7A2020_29435	0.103	0.027	0.048	0.029
R7A2020_29440	0.072	0.016	0.030	0.022
R7A2020_29445	0.074	0.013	0.034	0.028
R7A2020_29450	0.058	0.019	0.021	0.029
R7A2020_29455	0.055	0.004	0.029	0.018
R7A2020_29460	0.090	0.022	0.043	0.031
R7A2020_29465	0.066	0.013	0.037	0.021
R7A2020_29470	0.082	0.016	0.046	0.022
R7A2020_29475	0.072	0.015	0.033	0.017
R7A2020_29480	0.100	0.044	0.033	0.022
R7A2020_29485	0.159	0.056	0.046	0.042
R7A2020_29490	0.165	0.071	0.053	0.036
R7A2020_29495	0.107	0.037	0.033	0.037
R7A2020_29500	0.081	0.037	0.022	0.010
R7A2020_29505	0.000	0.000	0.000	0.000
R7A2020_29510	0.119	0.053	0.041	0.030
R7A2020_29515	0.149	0.066	0.051	0.036
R7A2020_29520	0.106	0.053	0.022	0.020
R7A2020_29525	0.060	0.036	0.000	0.000
R7A2020_29530	0.126	0.050	0.049	0.017
R7A2020_29535	0.095	0.030	0.041	0.030
R7A2020_29540	0.077	0.015	0.046	0.015
R7A2020_29545	0.140	0.059	0.058	0.033
R7A2020_29550	0.142	0.052	0.056	0.042
R7A2020_29555	0.166	0.076	0.070	0.038
R7A2020_29560	0.117	0.041	0.041	0.037
R7A2020_29565	0.156	0.067	0.047	0.044
R7A2020_29570	0.172	0.054	0.089	0.039
R7A2020_29575	0.139	0.042	0.060	0.046
R7A2020_29580	0.146	0.047	0.052	0.047
R7A2020_29585	0.136	0.066	0.043	0.043
R7A2020_29590	0.124	0.043	0.045	0.043
R7A2020_29595	0.146	0.051	0.045	0.041
R7A2020_29600	0.192	0.082	0.065	0.050
R7A2020_29605	0.110	0.037	0.049	0.030
R7A2020_29610	0.098	0.036	0.048	0.027
R7A2020_29615	0.086	0.041	0.033	0.007
R7A2020_29620	0.103	0.021	0.048	0.034
R7A2020_29625	0.086	0.029	0.019	0.033
R7A2020_29630	0.115	0.049	0.038	0.027
R7A2020_29635	0.153	0.042	0.056	0.037
R7A2020_29640	0.069	0.024	0.014	0.022
R7A2020_29645	0.126	0.051	0.037	0.033
R7A2020_29650	0.121	0.069	0.050	0.026
R7A2020_29655	0.084	0.023	0.034	0.024
R7A2020_29660	0.078	0.024	0.033	0.024
R7A2020_29665	0.045	0.012	0.021	0.014
R7A2020_29670	0.109	0.042	0.042	0.031
R7A2020_29675	0.102	0.038	0.036	0.030
R7A2020_29680	0.113	0.042	0.034	0.025
R7A2020_29685	0.122	0.043	0.050	0.035
R7A2020_29690	0.122	0.040	0.047	0.038
R7A2020_29695	0.127	0.036	0.051	0.024
R7A2020_29700	0.088	0.026	0.036	0.030
R7A2020_29705	0.128	0.041	0.062	0.036
R7A2020_29710	0.092	0.025	0.044	0.020
R7A2020_29715	0.121	0.055	0.044	0.026
R7A2020_29720	0.084	0.023	0.032	0.026
R7A2020_29725	0.073	0.015	0.029	0.027
R7A2020_29730	0.087	0.021	0.034	0.025
R7A2020_29735	0.113	0.048	0.032	0.026
R7A2020_29740	0.140	0.038	0.059	0.042
R7A2020_29745	0.130	0.054	0.043	0.038
R7A2020_29750	0.126	0.044	0.051	0.031
R7A2020_29755	0.089	0.032	0.036	0.026
R7A2020_29760	0.072	0.024	0.042	0.006
R7A2020_29765	0.106	0.031	0.035	0.029
R7A2020_29770	0.121	0.037	0.045	0.020
R7A2020_29775	0.111	0.033	0.052	0.013
R7A2020_29780	0.118	0.036	0.058	0.041
R7A2020_29785	0.138	0.062	0.049	0.030
R7A2020_29790	0.160	0.059	0.043	0.037
R7A2020_29795	0.101	0.029	0.042	0.026
R7A2020_29800	0.038	0.007	0.021	0.011
R7A2020_29805	0.047	0.012	0.019	0.012
R7A2020_29810	0.062	0.012	0.022	0.022
R7A2020_29815	0.087	0.020	0.052	0.015
R7A2020_29820	0.063	0.014	0.021	0.007
R7A2020_29825	0.083	0.025	0.039	0.027
R7A2020_29830	0.071	0.036	0.031	0.004
R7A2020_29835	0.052	0.008	0.026	0.018
R7A2020_29840	0.091	0.021	0.049	0.030
R7A2020_29845	0.066	0.009	0.040	0.014
R7A2020_29850	0.069	0.010	0.034	0.024
R7A2020_29855	0.014	0.002	0.005	0.005
R7A2020_29860	0.093	0.022	0.031	0.029
R7A2020_29865	0.076	0.023	0.058	0.000
R7A2020_29870	0.063	0.011	0.014	0.026
R7A2020_29875	0.043	0.008	0.024	0.008
R7A2020_29880	0.176	0.082	0.053	0.029
R7A2020_29885	0.121	0.041	0.044	0.039
R7A2020_29890	0.135	0.050	0.037	0.041
R7A2020_29895	0.105	0.036	0.036	0.035
R7A2020_29900	0.135	0.053	0.053	0.032
R7A2020_29905	0.119	0.046	0.049	0.025
R7A2020_29910	0.075	0.031	0.031	0.031
R7A2020_29915	0.088	0.023	0.045	0.019
R7A2020_29920	0.139	0.037	0.037	0.028
R7A2020_29925	0.123	0.040	0.041	0.033
R7A2020_29930	0.121	0.044	0.053	0.034
R7A2020_29935	0.112	0.028	0.048	0.018
R7A2020_29940	0.080	0.011	0.031	0.031
R7A2020_29945	0.082	0.020	0.042	0.028
R7A2020_29950	0.108	0.039	0.039	0.028
R7A2020_29955	0.135	0.048	0.047	0.027
R7A2020_29960	0.147	0.045	0.061	0.052
R7A2020_29965	0.098	0.049	0.069	0.010
R7A2020_29970	0.082	0.037	0.027	0.031
R7A2020_29975	0.070	0.017	0.031	0.022
R7A2020_29980	0.043	0.005	0.018	0.021
R7A2020_29985	0.040	0.008	0.020	0.011
R7A2020_29990	0.035	0.006	0.021	0.008
R7A2020_29995	0.087	0.035	0.038	0.030
R7A2020_30000	0.101	0.018	0.052	0.037
R7A2020_30005	0.073	0.011	0.041	0.020
R7A2020_30010	0.124	0.029	0.063	0.039
R7A2020_30015	0.099	0.022	0.038	0.032
R7A2020_30020	0.123	0.033	0.033	0.045
R7A2020_30025	0.094	0.025	0.036	0.027
R7A2020_30030	0.116	0.041	0.051	0.029
R7A2020_30035	0.148	0.038	0.059	0.051
R7A2020_30040	0.110	0.041	0.041	0.031
R7A2020_30045	0.079	0.020	0.033	0.022
R7A2020_30050	0.117	0.037	0.048	0.029
R7A2020_30055	0.097	0.025	0.043	0.029
R7A2020_30060	0.038	0.008	0.019	0.014
R7A2020_30065	0.036	0.007	0.013	0.013
R7A2020_30070	0.024	0.004	0.007	0.011
R7A2020_30075	0.077	0.018	0.036	0.028
R7A2020_30080	0.043	0.007	0.019	0.016
R7A2020_30085	0.027	0.000	0.017	0.013
R7A2020_30090	0.005	0.000	0.005	0.000
R7A2020_30095	0.044	0.005	0.034	0.019
R7A2020_30100	0.044	0.007	0.025	0.015
R7A2020_30105	0.082	0.024	0.041	0.037
R7A2020_30110	0.044	0.011	0.021	0.017
R7A2020_30115	0.045	0.008	0.017	0.013
R7A2020_30120	0.042	0.007	0.018	0.013
R7A2020_30125	0.104	0.031	0.035	0.031
R7A2020_30130	0.087	0.025	0.053	0.017
R7A2020_30135	0.102	0.038	0.042	0.028
R7A2020_30140	0.113	0.032	0.069	0.056
R7A2020_30145	0.120	0.049	0.054	0.025
R7A2020_30150	0.123	0.032	0.050	0.033
R7A2020_30155	0.098	0.024	0.043	0.039
R7A2020_30160	0.041	0.011	0.015	0.007
R7A2020_30165	0.130	0.055	0.035	0.035
R7A2020_30170	0.099	0.026	0.037	0.029
R7A2020_30175	0.053	0.015	0.028	0.013
R7A2020_30180	0.084	0.039	0.025	0.025
R7A2020_30185	0.103	0.028	0.052	0.022
R7A2020_30190	0.109	0.036	0.040	0.017
R7A2020_30195	0.089	0.021	0.048	0.022
R7A2020_30200	0.090	0.031	0.032	0.019
R7A2020_30205	0.078	0.000	0.059	0.031
R7A2020_30210	0.084	0.031	0.028	0.022
R7A2020_30215	0.138	0.038	0.079	0.054
R7A2020_30220	0.117	0.037	0.045	0.036
R7A2020_30225	0.017	0.000	0.017	0.000
R7A2020_30230	0.048	0.011	0.033	0.026
R7A2020_30235	0.055	0.015	0.015	0.022
R7A2020_30240	0.069	0.023	0.034	0.017
R7A2020_30245	0.069	0.017	0.032	0.020
R7A2020_30250	0.099	0.025	0.046	0.021
R7A2020_30255	0.021	0.006	0.005	0.005
R7A2020_30260	0.066	0.014	0.036	0.020
R7A2020_30265	0.089	0.025	0.036	0.025
R7A2020_30270	0.078	0.034	0.028	0.006
R7A2020_30275	0.062	0.009	0.030	0.025
R7A2020_30280	0.115	0.044	0.058	0.024
R7A2020_30285	0.094	0.038	0.015	0.035
R7A2020_30290	0.109	0.046	0.044	0.032
R7A2020_30295	0.108	0.033	0.056	0.028
R7A2020_30300	0.133	0.049	0.052	0.021
R7A2020_30305	0.103	0.042	0.032	0.022
R7A2020_30310	0.106	0.042	0.038	0.035
R7A2020_30315	0.109	0.038	0.042	0.031
R7A2020_30320	0.106	0.033	0.043	0.029
R7A2020_30325	0.095	0.035	0.034	0.023
R7A2020_30330	0.108	0.039	0.044	0.021
R7A2020_30335	0.108	0.038	0.049	0.026
R7A2020_30340	0.034	0.004	0.023	0.011
R7A2020_30345	0.058	0.009	0.024	0.022
R7A2020_30350	0.104	0.036	0.046	0.024
R7A2020_30355	0.102	0.029	0.034	0.042
R7A2020_30360	0.098	0.039	0.046	0.023
R7A2020_30365	0.116	0.041	0.050	0.028
R7A2020_30370	0.097	0.044	0.027	0.035
R7A2020_30375	0.069	0.020	0.029	0.019
R7A2020_30380	0.043	0.006	0.023	0.015
R7A2020_30385	0.013	0.000	0.007	0.000
R7A2020_30390	0.077	0.021	0.039	0.015
R7A2020_30395	0.082	0.025	0.040	0.024
R7A2020_30400	0.078	0.024	0.022	0.029
R7A2020_30405	0.066	0.025	0.027	0.017
R7A2020_30410	0.054	0.010	0.021	0.023
R7A2020_30415	0.045	0.010	0.021	0.016
R7A2020_30420	0.083	0.022	0.031	0.017
R7A2020_30425	0.028	0.002	0.017	0.007
R7A2020_30430	0.043	0.004	0.025	0.011
R7A2020_30435	0.032	0.008	0.015	0.010
R7A2020_30440	0.072	0.012	0.029	0.025
R7A2020_30445	0.041	0.007	0.015	0.021
R7A2020_30450	0.049	0.007	0.023	0.017
R7A2020_30455	0.043	0.006	0.019	0.014
R7A2020_30460	0.035	0.007	0.022	0.005
R7A2020_30465	0.014	0.005	0.005	0.003
R7A2020_30470	0.037	0.018	0.018	0.006
R7A2020_30475	0.059	0.015	0.026	0.017
R7A2020_30480	0.042	0.008	0.016	0.016
R7A2020_30485	0.027	0.008	0.015	0.004
R7A2020_30490	0.055	0.018	0.019	0.016
R7A2020_30495	0.090	0.030	0.034	0.026
R7A2020_30500	0.098	0.034	0.043	0.024
R7A2020_30505	0.074	0.022	0.037	0.027
R7A2020_30510	0.087	0.024	0.047	0.028
R7A2020_30515	0.136	0.054	0.055	0.030
R7A2020_30520	0.109	0.024	0.044	0.022
R7A2020_30525	0.105	0.033	0.048	0.019
R7A2020_30530	0.131	0.046	0.041	0.042
R7A2020_30535	0.082	0.029	0.053	0.023
R7A2020_30540	0.115	0.028	0.064	0.026
R7A2020_30545	0.072	0.021	0.032	0.022
R7A2020_30550	0.083	0.022	0.029	0.029
R7A2020_30555	0.154	0.040	0.044	0.048
R7A2020_30560	0.080	0.034	0.017	0.029
R7A2020_30565	0.115	0.041	0.042	0.030
R7A2020_30570	0.090	0.007	0.060	0.022
R7A2020_30575	0.115	0.036	0.045	0.037
R7A2020_30580	0.119	0.028	0.067	0.024
R7A2020_30585	0.126	0.039	0.054	0.029
R7A2020_30590	0.117	0.035	0.049	0.035
R7A2020_30595	0.086	0.031	0.032	0.023
R7A2020_30600	0.082	0.012	0.055	0.016
R7A2020_30605	0.067	0.017	0.026	0.025
R7A2020_30610	0.086	0.021	0.035	0.021
R7A2020_30615	0.042	0.006	0.024	0.012
R7A2020_30620	0.054	0.007	0.022	0.025
R7A2020_30625	0.099	0.033	0.060	0.022
R7A2020_30630	0.084	0.021	0.045	0.026
R7A2020_30635	0.045	0.011	0.024	0.012
R7A2020_30640	0.032	0.011	0.011	0.006
R7A2020_30645	0.053	0.011	0.025	0.025
R7A2020_30650	0.115	0.034	0.043	0.034
R7A2020_30655	0.113	0.035	0.047	0.038
R7A2020_30660	0.118	0.042	0.028	0.035
R7A2020_30665	0.130	0.048	0.030	0.022
R7A2020_30670	0.108	0.037	0.044	0.031
R7A2020_30675	0.104	0.037	0.042	0.024
R7A2020_30680	0.104	0.033	0.044	0.027
R7A2020_30685	0.098	0.030	0.039	0.030
R7A2020_30690	0.100	0.027	0.042	0.031
R7A2020_30695	0.103	0.034	0.039	0.024
R7A2020_30700	0.115	0.047	0.046	0.028
R7A2020_30705	0.145	0.051	0.063	0.026
R7A2020_30710	0.155	0.055	0.055	0.043
R7A2020_30715	0.153	0.058	0.066	0.050
R7A2020_30720	0.132	0.053	0.052	0.035
R7A2020_30725	0.101	0.027	0.051	0.040
R7A2020_30730	0.150	0.060	0.059	0.038
R7A2020_30735	0.172	0.066	0.062	0.042
R7A2020_30740	0.162	0.066	0.042	0.035
R7A2020_30745	0.160	0.058	0.058	0.045
R7A2020_30750	0.148	0.053	0.055	0.041
R7A2020_30755	0.137	0.054	0.044	0.028
R7A2020_30760	0.116	0.055	0.037	0.024
R7A2020_30765	0.091	0.043	0.035	0.016
R7A2020_30770	0.174	0.069	0.063	0.041
R7A2020_30775	0.112	0.052	0.034	0.009
R7A2020_30780	0.091	0.028	0.046	0.021
R7A2020_30785	0.098	0.030	0.038	0.030
R7A2020_30790	0.050	0.006	0.022	0.011
R7A2020_30795	0.122	0.052	0.052	0.027
R7A2020_30800	0.102	0.039	0.036	0.023
R7A2020_30805	0.094	0.034	0.027	0.020
R7A2020_30810	0.115	0.040	0.049	0.028
R7A2020_30815	0.075	0.013	0.030	0.025
R7A2020_30820	0.082	0.033	0.041	0.023
R7A2020_30825	0.112	0.040	0.052	0.034
R7A2020_30830	0.095	0.039	0.052	0.036
R7A2020_30835	0.100	0.033	0.045	0.025
R7A2020_30840	0.143	0.060	0.050	0.042
R7A2020_30845	0.122	0.058	0.053	0.018
R7A2020_30850	0.124	0.053	0.047	0.024
R7A2020_30855	0.178	0.071	0.058	0.056
R7A2020_30860	0.109	0.045	0.045	0.029
R7A2020_30865	0.137	0.055	0.061	0.034
R7A2020_30870	0.074	0.016	0.040	0.015
R7A2020_30875	0.037	0.012	0.013	0.007
R7A2020_30880	0.130	0.043	0.046	0.033
R7A2020_30885	0.088	0.029	0.029	0.026
R7A2020_30890	0.211	0.100	0.084	0.051
R7A2020_30895	0.202	0.090	0.083	0.050
R7A2020_30900	0.146	0.042	0.061	0.052
R7A2020_30905	0.037	0.007	0.018	0.004
R7A2020_30910	0.030	0.003	0.017	0.009
R7A2020_30915	0.036	0.006	0.022	0.009
R7A2020_30920	0.004	0.000	0.004	0.000
R7A2020_30925	0.005	0.005	0.000	0.000
R7A2020_30930	0.066	0.007	0.044	0.015
R7A2020_30935	0.060	0.008	0.034	0.021
R7A2020_30940	0.069	0.007	0.039	0.022
R7A2020_30945	0.054	0.011	0.032	0.014
R7A2020_30950	0.049	0.009	0.024	0.020
R7A2020_30955	0.070	0.013	0.032	0.026
R7A2020_30960	0.050	0.006	0.032	0.015
R7A2020_30965	0.088	0.022	0.031	0.025
R7A2020_30970	0.090	0.029	0.040	0.020
R7A2020_30975	0.155	0.057	0.057	0.049
